DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Hepatocellular carcinoma	miR-122	HOTTIP	negatively-E	RNAi	downregulation	qPCR;microarray	NA	NA	cancer progression(-)	NA	regulation	NA	NA	NA	NA	Cancer	Liver cancer	miRNA	lncRNA	NA	NA	ENSG00000243766	GRCh38_7:27198575-27207259	NA	100316868	NA	HOXA-AS6|HOXA13-AS1|NCRNA00213	Hepatitis C virus core impacts expression of miR122 and miR204 involved in carcinogenic progression via regulation of TGFBRAP1 and HOTTIP expression. Our data suggests that the pathways of miR204-HPCAL1-lncRNAHOTTIP and miR122-TGFBRAP1 were likely involved in the carcinogenic progress due to the presence of HCV core, and that overexpression of miR122 and miR204 might inhibit the HCC progress by down-regulation of TGFBRAP1 and HOTTIP expression.	29535540	RID01015	expression association
Hepatocellular carcinoma	miR-204	HOTTIP	negatively-F	luciferase reporter assay	downregulation	qPCR	NA	NA	tumorigenesis(-);cancer progression(-)	sponge	binding/interaction	RNA-RNA	NA	NA	NA	Cancer	Liver cancer	miRNA	lncRNA	NA	NA	ENSG00000243766	GRCh38_7:27198575-27207259	NA	100316868	NA	HOXA-AS6|HOXA13-AS1|NCRNA00213	MiRNA-192 [corrected] and miRNA-204 Directly Suppress lncRNA HOTTIP and Interrupt GLS1-Mediated Glutaminolysis in Hepatocellular Carcinoma.In the current study, we identified miR-192 and miR-204 as two microRNAs (miRNAs) suppressing HOTTIP expression via the Argonaute 2 (AGO2)-mediated RNA interference (RNAi) pathway in HCC. Interaction between miR-192 or miR-204 and HOTTIP were further confirmed using dual luciferase reporter gene assays. These results elucidate that the miR-192/-204-HOTTIP axis might be an important molecular pathway during hepatic cell tumorigenesis.Hepatitis C virus core impacts expression of miR122 and miR204 involved in carcinogenic progression via regulation of TGFBRAP1 and HOTTIP expression. Our data suggests that the pathways of miR204-HPCAL1-lncRNAHOTTIP and miR122-TGFBRAP1 were likely involved in the carcinogenic progress due to the presence of HCV core, and that overexpression of miR122 and miR204 might inhibit the HCC progress by down-regulation of TGFBRAP1 and HOTTIP expression.	26710269;29535540	RID01016	ceRNA or sponge
Nasopharynx carcinoma	TGFB1	MALAT1	positively-E	luciferase reporter assay;western blot	upregulation	qPCR	NA	NA	cell growth(-);cell migration(-)	NA	regulation	NA	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Nasopharynx carcinoma	PCG	lncRNA	ENSG00000105329	NA	ENSG00000251562	GRCh38_11:65497688-65506516	7040	378938	CED|DPD1|IBDIMDE|LAP|TGFB|TGFbeta	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	TGF-beta regulates the ERK/MAPK pathway independent of the SMAD pathway by repressing miRNA-124 to increase MALAT1 expression in nasopharyngeal carcinoma.constant TGF-beta stimulation repressed miR-124 expression, whereas miR-124 overexpression antagonized TGF-beta-promoted NPC cell growth and migration.	29710466	RID01017	expression association
Osteocarcinoma	LIN28A	MALAT1	positively-E	luciferase reporter assay;RIP	upregulation	qPCR	NA	NA	cancer progression(+)	RNA stability	binding/interaction	protein-RNA	NA	NA	NA	Cancer	Osteocarcinoma	TF	lncRNA	ENSG00000131914	NA	ENSG00000251562	GRCh38_11:65497688-65506516	79727	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	RNA binding protein Lin28A promotes osteocarcinoma cells progression by associating with the long noncoding RNA MALAT1. Lin28A was found to harbor binding sites on MALAT1 sequences and associated with MALAT1, and increased MALAT1 stability and expression.Lin28A knockdown inhibited OS cells proliferation, migration, invasion and promoted cell apoptosis;Expressions of Lin28A and long noncoding RNA MALAT1 were positively correlated.	29204769	RID01018	interact with mRNA
Alzheimer's disease	EBF3-AS	EBF3	positively-E	RNAi	upregulation	qPCR	NA	NA	apoptosis process(+)	NA	association	NA	NA	NA	Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	TF	NA	GRCh38_10:129837700-129842171	ENSG00000108001	NA	NA	253738	NA	COE3|EBF-3|HADDS|O/E-2|OE-2	Long Noncoding RNA EBF3-AS Promotes Neuron Apoptosis in Alzheimer's Disease. These results revealed that lncRNA EBF3-AS promoted neuron apoptosis in AD, and involved in regulating EBF3 expression.The expression of EBF3 was downregulated in Abeta25-35- and OA-treated SH-SY5Y, which was reversed by EBF3-AS knockdown.	29298096	RID01019	expression association
Gorham's disease	MALAT1	VEGFA	positively-E	luciferase reporter assay;western blot	upregulation	qPCR	NA	NA	cell proliferation(+)	ceRNA(miR-22-5p)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Other	Gorham's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000112715	NA	378938	7422	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	MVCD1|VEGF|VPF	MALAT1 enhanced the proliferation of human osteoblasts treated with ultra-high molecular weight polyethylene by targeting VEGF via miR-22-5p. Knockdown of MALAT1 inhibited the growth of UHMWPE-treated hFOB 1.19 cells, and this effect was associated with the upregulation of OPG, and downregulation of RANKL and VEGF.	29328414	RID01020	ceRNA or sponge
Malignant glioma	SNHG16	E2F1	positively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	tumorigenesis(+)	ceRNA(miR-20a-5p)	regulation	NA	NA	NA	NA	Cancer	Brain glioma	lncRNA	TF	ENSG00000163597	GRCh38_17:76557764-76565348	ENSG00000101412	NA	100507246	1869	Nbla10727|Nbla12061|ncRAN	E2F-1|RBAP1|RBBP3|RBP3	Long non-coding RNA SNHG16 contributes to glioma malignancy by competitively binding miR-20a-5p with E2F1. We also found that SNHG16 may act as a ceRNA for miR-20a-5p, enhancing the expression of E2F1.miR-20a-5p mimic enhanced the inhibition of cell proliferation, invasion, migration, and EMT, and increase of apoptosis induced by SNHG16 knockdown. In conclusion, SNHG16 promotes glioma tumorigenesis by sponging miR-20a-5p, leading to the enhancement of its endogenous targets E2F1. The data provides a new clue for the role of SNHG16/miR-20a-5p/E2F1 in the development of glioma.	29685003	RID01021	ceRNA or sponge
Atherosclerosis	HOTTIP	CCND1	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);WNT/beta-catenin signaling pathway(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000110092	NA	100316868	595	HOXA-AS6|HOXA13-AS1|NCRNA00213	BCL1|D11S287E|PRAD1|U21B31	Long noncoding RNA HOTTIP promotes endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway. Ectopic expression of HOTTIP promoted endothelial cell proliferation and also increased the expression of proliferating makers cyclin D1 and PCNA. Moreover, elevated expression of HOTTIP promoted endothelial cell migration. Downregulation expression of HOTTIP suppressed endothelial cell proliferation and migration.we determined that overexpression of HOTTIP induced beta-catenin expression and enhanced the downstream protein c-Myc expression in the endothelial cell. Ectopic expression of HOTTIP increased endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway.	29058802	RID01022	expression association
Atherosclerosis	HOTTIP	PCNA	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);WNT/beta-catenin signaling pathway(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000132646	NA	100316868	5111	HOXA-AS6|HOXA13-AS1|NCRNA00213	ATLD2	Long noncoding RNA HOTTIP promotes endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway. Ectopic expression of HOTTIP promoted endothelial cell proliferation and also increased the expression of proliferating makers cyclin D1 and PCNA. Moreover, elevated expression of HOTTIP promoted endothelial cell migration. Downregulation expression of HOTTIP suppressed endothelial cell proliferation and migration.we determined that overexpression of HOTTIP induced beta-catenin expression and enhanced the downstream protein c-Myc expression in the endothelial cell. Ectopic expression of HOTTIP increased endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway.	29058802	RID01023	expression association
Atherosclerosis	HOTTIP	CTNNB1	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);WNT/beta-catenin signaling pathway(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000168036	NA	100316868	1499	HOXA-AS6|HOXA13-AS1|NCRNA00213	CTNNB|EVR7|MRD19|NEDSDV|armadillo	Long noncoding RNA HOTTIP promotes endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway. Ectopic expression of HOTTIP promoted endothelial cell proliferation and also increased the expression of proliferating makers cyclin D1 and PCNA. Moreover, elevated expression of HOTTIP promoted endothelial cell migration. Downregulation expression of HOTTIP suppressed endothelial cell proliferation and migration.we determined that overexpression of HOTTIP induced beta-catenin expression and enhanced the downstream protein c-Myc expression in the endothelial cell. Ectopic expression of HOTTIP increased endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway.	29058802	RID01024	expression association
Atherosclerosis	HOTTIP	MYC	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);WNT/beta-catenin signaling pathway(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	TF	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000136997	NA	100316868	4609	HOXA-AS6|HOXA13-AS1|NCRNA00213	MRTL|MYCC|bHLHe39|c-Myc	Long noncoding RNA HOTTIP promotes endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway. Ectopic expression of HOTTIP promoted endothelial cell proliferation and also increased the expression of proliferating makers cyclin D1 and PCNA. Moreover, elevated expression of HOTTIP promoted endothelial cell migration. Downregulation expression of HOTTIP suppressed endothelial cell proliferation and migration.we determined that overexpression of HOTTIP induced beta-catenin expression and enhanced the downstream protein c-Myc expression in the endothelial cell. Ectopic expression of HOTTIP increased endothelial cell proliferation and migration via activation of the Wnt/beta-catenin pathway.	29058802	RID01025	expression association
Chronic myeloid leukemia	H19	BCR-ABL	positively-E	RNAi	upregulation	qPCR	NA	NA	cancer progression(+)	NA	association	NA	NA	NA	NA	Cancer	Leukemia	lncRNA	PCG	ENSG00000130600	GRCh38_11:1995176-2001470	NA	NA	283120	NA	ASM|ASM1|BWS|D11S813E|LINC00008|MIR675HG|NCRNA00008|WT2	NA	Hypomethylation-mediated H19 overexpression increases the risk of disease evolution through the association with BCR-ABL transcript in chronic myeloid leukemia. H19 overexpression, a frequent event in CML, was associated with higher BCR-ABL transcript involving in disease progression.Moreover, H19 DMR/ICR hypomethylation in CML may be one of the mechanisms mediating H19 overexpression.	28776669	RID01026	expression association
Atherosclerosis	MEG3	miR-223	negatively-F	luciferase reporter assay	upregulation	qPCR	NA	NA	apoptosis process(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Evading Apoptosis	Cardiovascular system disease	Atherosclerosis	lncRNA	miRNA	ENSG00000214548	GRCh38_14:100779410-100861031	NA	NA	55384	NA	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	NA	Melatonin prevents endothelial cell pyroptosis via regulation of long noncoding RNA MEG3/miR-223/NLRP3 axis. We found that lncRNA MEG3 enhanced pyroptosis in HAECs. Moreover, MEG3 acted as an endogenous sponge by sequence complementarity to suppress the function of miR-223 and to increase NLRP3 expression and enhance endothelial cell pyroptosis.	29024030	RID01027	ceRNA or sponge
Atherosclerosis	MEG3	NLRP3	positively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	apoptosis process(+)	NA	regulation	NA	NA	NA	Evading Apoptosis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	ENSG00000214548	GRCh38_14:100779410-100861031	ENSG00000162711	NA	55384	114548	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	AGTAVPRL|AII|AVP|C1orf7|CIAS1|CLR1.1|DFNA34|FCAS|FCAS1|FCU|KEFH|MWS|NALP3|PYPAF1	Melatonin prevents endothelial cell pyroptosis via regulation of long noncoding RNA MEG3/miR-223/NLRP3 axis. We found that lncRNA MEG3 enhanced pyroptosis in HAECs. Moreover, MEG3 acted as an endogenous sponge by sequence complementarity to suppress the function of miR-223 and to increase NLRP3 expression and enhance endothelial cell pyroptosis.	29024030	RID01028	expression association
Psoriasis	MSX2P1	S100A7	positively-E	luciferase reporter assay;western blot	upregulation	qPCR	NA	NA	cell proliferation(+);apoptosis process(-)	ceRNA(miR-6731-5p)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Integumentary system disease	Skin disease	lncRNA	PCG	ENSG00000229590	GRCh38_17:58157028-58157800	ENSG00000143556	NA	55545	6278	HPX5|HSHPX5|MSX2P	PSOR1|S100A7c	Up-regulated lncRNA-MSX2P1 promotes the growth of IL-22-stimulated keratinocytes by inhibiting miR-6731-5p and activating S100A7. Competitive endogenous RNAs (ceRNAs) regulate RNA transcripts by competing for shared miRNAs and play critical roles in disease development. Immunohistochemistry demonstrated significantly increased expression levels of S100A7 in psoriatic lesions, compared with normal skin tissue. We observed a positive correlation between lncRNA-MSX2P1 expression and S100A7 expression. In addition, miR-6731-5p suppressed proliferation, accelerated apoptosis in IL-22-stimulated keratinocytes, and decreased the expressions of S100A7, IL-12beta, IL-23, HLA-C,CCHCR1, TNF-alpha, and NF-kB proteins. Our data demonstrated that MSX2P1 facilitate the progression and growth of IL-22-stimulated keratinocytes by inhibiting miR-6731-5p and activating S100A7.	29339075	RID01029	ceRNA or sponge
Non-small cell lung cancer	GHET1	LATS1	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000281189	GRCh38_7:148987527-148989432	ENSG00000131023	NA	102723099	9113	lncRNA-GHET1	WARTS|wts	Knockdown of lncRNA GHET1 suppresses cell proliferation, invasion and LATS1/YAP pathway in non small cell lung cancer. Knockdown of lncRNA GHET1 suppressed cell proliferation and invasion capacity and Epithelial-Mesenchymal Transition (EMT) phenomenon of NSCLC cells. Moreover, we demonstrated that knockdown of lncRNA GHET1 suppresses LATS1/YAP pathway signaling pathway by downregulating YAP1 expression in NSCLC cells.	29286919	RID01030	expression association
Non-small cell lung cancer	GHET1	YAP1	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000281189	GRCh38_7:148987527-148989432	ENSG00000137693	NA	102723099	10413	lncRNA-GHET1	COB1|YAP|YAP2|YAP65|YKI	Knockdown of lncRNA GHET1 suppresses cell proliferation, invasion and LATS1/YAP pathway in non small cell lung cancer. Knockdown of lncRNA GHET1 suppressed cell proliferation and invasion capacity and Epithelial-Mesenchymal Transition (EMT) phenomenon of NSCLC cells. Moreover, we demonstrated that knockdown of lncRNA GHET1 suppresses LATS1/YAP pathway signaling pathway by downregulating YAP1 expression in NSCLC cells.	29286919	RID01031	expression association
Urinary bladder cancer	GAS5	EZH2	negatively-E	RIP;ChIP;luciferase reporter assay;RNA pull-down assay	downregulation	qPCR	NA	NA	apoptosis process(+)	transcriptional regulation	binding/interaction	RNA-DNA	NA	NA	Evading Apoptosis	Cancer	Urinary bladder cancer	lncRNA	PCG	ENSG00000234741	GRCh38_1:173858559-173868882	ENSG00000106462	NA	60674	2146	NCRNA00030|SNHG2	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long noncoding RNA GAS5 promotes bladder cancer cells apoptosis through inhibiting EZH2 transcription. GAS5 effectively repressed EZH2 transcription by directly interacting with E2F4 and recruiting E2F4 to EZH2 promoter. We previously reported that miR-101 induced the apoptosis of BC cells by inhibiting the expression of EZH2. Interestingly, the present study showed that downregulation of EZH2 by GAS5 resulted in overexpression of miR-101 in T24 and EJ cells.	29445179	RID01032	transcriptional regulation
Atherosclerosis	H19	WNT1	positively-E	RIP;luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+);apoptosis process(-)	ceRNA(miR-148b)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	ENSG00000130600	GRCh38_11:1995176-2001470	ENSG00000125084	NA	283120	7471	ASM|ASM1|BWS|D11S813E|LINC00008|MIR675HG|NCRNA00008|WT2	BMND16|INT1|OI15	H19 knockdown suppresses proliferation and induces apoptosis by regulating miR-148b/WNT/beta-catenin in ox-LDL-stimulated vascular smooth muscle cells. H19 inhibited miR-148b expression by direct interaction. Further mechanical explorations showed that WNT1 was a target of miR-148b and H19 acted as a competing endogenous RNA (ceRNA) of miR-148b to enhance WNT1 expression.H19 facilitated proliferation and inhibited apoptosis through modulating WNT/beta-catenin signaling pathway via miR-148b in ox-LDL-stimulated HA-VSMCs, implicating the potential values of H19 in AS therapy.	29415742	RID01033	ceRNA or sponge
